attribute,value
วันเปิดตัว,มิถุนายน 2565
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,165.40 x 76.90 x 8.40 มม.
น้ำหนัก,192 กรัม
วัสดุ,"Glass front, plastic back, plastic frame"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,PLS LCD
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,4 GB
ความจุ,64 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, (wide), PDAF
ตัวที่ 2: 5 MP, f/2.2, 123˚ (ultrawide)
ตัวที่ 3: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 a/b/g/n/ac, dual-b"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,รอบรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (15W)
วันเปิดตัว,มิถุนายน 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,164.50 x 76.90 x 8.40 มม.
น้ำหนัก,195 กรัม
วัสดุ,"Glass front, plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,TFT
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Qualcomm Snapdragon 680 4G SM6225 2.4 GHz
ชิปกราฟิก,Adreno 610
หน่วยความจำ,8 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, (wide), PDAF
ตัวที่ 2: 5 MP, f/2.2, (ultrawide), 1/5
ตัวที่ 3: 2 MP, f/2.4, (macro)
ตัวที่ 4: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2, (wide)"
Bluetooth,5.0
Wi-Fi,802.11 a/b/g/n/ac
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (25W)
วันเปิดตัว,กันยายน 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,165.10 x 76.40 x 8.80 มม.
น้ำหนัก,195 กรัม
วัสดุ,"Glass front (Gorilla Glass 5), plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,-
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,TFT
ขนาดหน้าจอ,6.60 นิ้ว
ความละเอียด,1080 x 2408 pixels
ระบบปฏิบัติการ,Android 12
ชิปประมวลผล,Samsung Exynos 850 S5E3830 2 GHz
ชิปกราฟิก,Mali-G52 MP1
หน่วยความจำ,4 GB
ความจุ,128 GB
Memory Card,microSD (1)
กล้องหลัก,"ตัวที่ 1: 50 MP, f/1.8, (wide), PDAF
ตัวที่ 2: 5 MP, f/2.2, (ultrawide), 1/5
ตัวที่ 3: 2 MP, f/2.4, (macro)
ตัวที่ 4: 2 MP, f/2.4, (depth)"
ความละเอียดวีดีโอ,1080p@30fps
กล้องหน้า,"ตัวที่ 1: 8 MP, f/2.2, (wide)"
Bluetooth,"5.0, A2DP, LE"
Wi-Fi,"802.11 b/g/n, Wi-Fi Direc"
USB,Type-C
GPS,"A-GPS, GLONASS, GALILEO,"
NFC,ไม่รองรับ
ความจุ,"5,000 mAh"
ประเภท,Non-removable Li-Po Batt
Fast Charging,รองรับ (25W)
วันเปิดตัว,สิงหาคม 2564
วันวางจำหน่าย,ยังไม่วางจำหน่าย
ขนาด,164.20 x 76.60 x 9.00 มม.
น้ำหนัก,205 กรัม
วัสดุ,"Glass front, plastic frame, plastic back"
SIM,"รองรับ 2 ซิมการ์ด (nano sim, nano sim)"
Technology,"HSPA 42.2/5.76 Mbps, LTE-A"
2G,850/900/1800/1900
3G,850/900/1900/2100
4G,850/900/1900/2100/2600
5G,2100/2600/3500/4700
ความเร็ว,"HSPA 42.2/5.76 Mbps, LTE-A"
ประเภท,LCD
ขนาดหน้าจอ,6.50 นิ้ว
ความละเอียด,720 x 1600 pixels
ระบบปฏิบัติการ,Android 11
ชิปประมวลผล,MediaTek Dimensity 720 MT6853 2 GHz
